chargeback_id,transaction_id,customer_id,chargeback_date,reason,amount,is_first_party_fraud
CB_000001,TXN_002979391,CUST_030008,2024-08-30,duplicate_charge,29.18,False
CB_000002,TXN_002188865,CUST_021933,2024-11-19,duplicate_charge,240.26,False
CB_000003,TXN_001454377,CUST_014673,2025-02-12,duplicate_charge,40.61,False
CB_000004,TXN_000713777,CUST_007157,2024-09-06,duplicate_charge,122.75,False
CB_000005,TXN_001066306,CUST_010724,2025-04-12,credit_not_processed,204.82,False
CB_000006,TXN_004599648,CUST_046422,2025-06-14,credit_not_processed,36.47,False
CB_000007,TXN_003576435,CUST_036092,2025-01-02,product_not_received,8.9,False
CB_000008,TXN_000174322,CUST_001721,2025-01-26,product_not_as_described,27.23,False
CB_000009,TXN_002388874,CUST_023989,2024-07-07,duplicate_charge,12.36,False
CB_000010,TXN_001485054,CUST_014989,2025-03-30,authorization_error,616.65,False
CB_000011,TXN_001495686,CUST_015114,2024-10-31,credit_not_processed,7.03,False
CB_000012,TXN_001956426,CUST_019612,2024-12-28,product_not_as_described,24.31,False
CB_000013,TXN_004262041,CUST_043012,2024-12-03,duplicate_charge,4.6,False
CB_000014,TXN_004359440,CUST_044020,2025-06-28,duplicate_charge,23.32,False
CB_000015,TXN_000177285,CUST_001747,2025-02-02,fraudulent_transaction,12.83,False
CB_000016,TXN_002209868,CUST_022134,2024-10-16,duplicate_charge,23.23,False
CB_000017,TXN_004023046,CUST_040616,2024-10-17,fraudulent_transaction,18.89,False
CB_000018,TXN_004758514,CUST_048041,2024-11-23,product_not_received,71.68,False
CB_000019,TXN_001606577,CUST_016211,2025-04-16,duplicate_charge,83.73,False
CB_000020,TXN_000608300,CUST_006105,2024-12-21,cancelled_recurring,112.29,False
CB_000021,TXN_004649010,CUST_046958,2025-02-28,product_not_received,26.13,False
CB_000022,TXN_000381973,CUST_003851,2024-12-14,authorization_error,63.59,False
CB_000023,TXN_004270426,CUST_043097,2025-05-01,authorization_error,11.58,False
CB_000024,TXN_004286533,CUST_043278,2024-09-15,cancelled_recurring,13.24,False
CB_000025,TXN_003677402,CUST_037112,2024-05-25,credit_not_processed,120.43,False
CB_000026,TXN_001233721,CUST_012416,2025-01-09,cancelled_recurring,15.82,False
CB_000027,TXN_004226625,CUST_042662,2025-05-18,cancelled_recurring,39.59,False
CB_000028,TXN_002117473,CUST_021238,2025-04-27,duplicate_charge,35.73,False
CB_000029,TXN_004670683,CUST_047175,2024-10-16,fraudulent_transaction,91.13,False
CB_000030,TXN_002095433,CUST_021015,2025-03-09,product_not_received,454.19,False
CB_000031,TXN_000995550,CUST_009977,2025-02-06,fraudulent_transaction,119.85,False
CB_000032,TXN_000989973,CUST_009932,2024-09-12,duplicate_charge,28.01,False
CB_000033,TXN_001795707,CUST_018064,2025-05-19,fraudulent_transaction,53.61,False
CB_000034,TXN_002284349,CUST_022871,2025-02-23,fraudulent_transaction,173.74,False
CB_000035,TXN_001859363,CUST_018658,2025-03-03,product_not_as_described,25.52,False
CB_000036,TXN_000427891,CUST_004305,2025-03-22,cancelled_recurring,19.53,False
CB_000037,TXN_002475427,CUST_024881,2024-09-15,duplicate_charge,9.62,False
CB_000038,TXN_003616194,CUST_036505,2024-07-11,duplicate_charge,14.95,False
CB_000039,TXN_000282820,CUST_002805,2025-01-29,authorization_error,61.13,False
CB_000040,TXN_004843695,CUST_048911,2025-06-07,product_not_as_described,20.7,False
CB_000041,TXN_002582297,CUST_025974,2025-05-24,duplicate_charge,112.86,False
CB_000042,TXN_002401407,CUST_024147,2025-06-13,duplicate_charge,14.47,False
CB_000043,TXN_001519351,CUST_015342,2024-09-29,authorization_error,16.2,False
CB_000044,TXN_000072323,CUST_000731,2025-03-07,duplicate_charge,25.71,False
CB_000045,TXN_003222076,CUST_032528,2024-12-18,product_not_as_described,5.9,False
CB_000046,TXN_000532594,CUST_005357,2025-05-27,authorization_error,14.67,False
CB_000047,TXN_003891218,CUST_039284,2025-05-13,authorization_error,43.8,False
CB_000048,TXN_003186529,CUST_032159,2024-12-01,product_not_received,118.4,False
CB_000049,TXN_001398859,CUST_014088,2024-07-01,credit_not_processed,7.93,False
CB_000050,TXN_004290686,CUST_043318,2025-04-23,product_not_as_described,13.99,False
CB_000051,TXN_003683936,CUST_037173,2025-05-07,fraudulent_transaction,3.99,False
CB_000052,TXN_004040796,CUST_040790,2024-09-15,product_not_received,756.5,False
CB_000053,TXN_003649327,CUST_036853,2025-01-18,fraudulent_transaction,302.58,False
CB_000054,TXN_004278667,CUST_043187,2025-01-23,authorization_error,24.2,False
CB_000055,TXN_000449681,CUST_004521,2024-08-12,product_not_as_described,177.56,False
CB_000056,TXN_002588221,CUST_026033,2025-06-19,fraudulent_transaction,86.05,False
CB_000057,TXN_004060485,CUST_040985,2025-03-13,product_not_as_described,39.75,False
CB_000058,TXN_002681444,CUST_026949,2024-12-31,product_not_as_described,248.98,False
CB_000059,TXN_000878219,CUST_008761,2025-02-25,credit_not_processed,8.68,False
CB_000060,TXN_000824718,CUST_008244,2025-04-08,credit_not_processed,128.86,False
CB_000061,TXN_002017004,CUST_020230,2024-11-20,credit_not_processed,65.35,False
CB_000062,TXN_000310743,CUST_003128,2025-01-16,authorization_error,187.56,False
CB_000063,TXN_003931120,CUST_039700,2024-02-29,cancelled_recurring,46.19,False
CB_000064,TXN_000127685,CUST_001262,2025-03-16,product_not_as_described,22.2,False
CB_000065,TXN_000065328,CUST_000663,2025-05-28,credit_not_processed,94.85,False
CB_000066,TXN_003465451,CUST_034981,2025-06-02,product_not_as_described,32.06,False
CB_000067,TXN_002225110,CUST_022281,2024-09-03,product_not_received,101.76,False
CB_000068,TXN_003914507,CUST_039528,2025-04-15,duplicate_charge,56.67,False
CB_000069,TXN_004649487,CUST_046959,2024-11-30,cancelled_recurring,16.51,False
CB_000070,TXN_002544669,CUST_025595,2024-12-03,authorization_error,16.13,False
CB_000071,TXN_003488234,CUST_035216,2024-08-14,cancelled_recurring,29.22,False
CB_000072,TXN_002385223,CUST_023948,2025-05-30,fraudulent_transaction,25.24,False
CB_000073,TXN_003086915,CUST_031118,2024-07-27,credit_not_processed,247.45,False
CB_000074,TXN_000176284,CUST_001731,2025-06-06,cancelled_recurring,92.4,False
CB_000075,TXN_001966506,CUST_019724,2025-01-22,authorization_error,152.38,False
CB_000076,TXN_003449569,CUST_034822,2024-11-15,cancelled_recurring,4.61,False
CB_000077,TXN_000892702,CUST_008919,2024-03-22,fraudulent_transaction,29.18,False
CB_000078,TXN_002677564,CUST_026917,2024-09-09,product_not_received,731.03,False
CB_000079,TXN_000158540,CUST_001551,2024-09-28,cancelled_recurring,163.63,False
CB_000080,TXN_001136652,CUST_011403,2025-01-08,credit_not_processed,50.74,False
CB_000081,TXN_000764426,CUST_007635,2025-04-29,fraudulent_transaction,146.69,False
CB_000082,TXN_004328274,CUST_043719,2025-03-11,credit_not_processed,30.67,False
CB_000083,TXN_002658058,CUST_026712,2025-02-21,product_not_as_described,30.87,False
CB_000084,TXN_000166369,CUST_001628,2025-03-12,product_not_received,35.21,False
CB_000085,TXN_001844296,CUST_018513,2025-01-04,credit_not_processed,434.49,False
CB_000086,TXN_000161149,CUST_001574,2025-01-20,authorization_error,58.18,False
CB_000087,TXN_004920622,CUST_049688,2025-02-10,product_not_as_described,8.79,False
CB_000088,TXN_004601640,CUST_046440,2024-11-13,product_not_as_described,4.44,False
CB_000089,TXN_002774411,CUST_027886,2025-05-24,fraudulent_transaction,66.52,False
CB_000090,TXN_000449609,CUST_004519,2024-12-12,authorization_error,24.91,False
CB_000091,TXN_002077235,CUST_020844,2025-04-04,product_not_as_described,241.68,False
CB_000092,TXN_004660513,CUST_047066,2024-10-14,product_not_received,21.2,False
CB_000093,TXN_004855335,CUST_049024,2024-05-10,product_not_received,17.14,False
CB_000094,TXN_003703471,CUST_037372,2024-12-05,product_not_received,6.06,False
CB_000095,TXN_001867390,CUST_018744,2024-11-27,product_not_received,11.9,False
CB_000096,TXN_001667844,CUST_016818,2025-03-25,credit_not_processed,37.3,False
CB_000097,TXN_001070950,CUST_010765,2024-12-11,duplicate_charge,336.91,False
CB_000098,TXN_004141564,CUST_041813,2025-03-06,duplicate_charge,2.0,False
CB_000099,TXN_001464750,CUST_014790,2025-06-24,duplicate_charge,189.59,False
CB_000100,TXN_001586914,CUST_016016,2024-12-22,product_not_received,65.37,False
CB_000101,TXN_000247531,CUST_002446,2025-02-25,credit_not_processed,64.96,False
CB_000102,TXN_001890416,CUST_018991,2025-02-24,cancelled_recurring,19.45,False
CB_000103,TXN_001059799,CUST_010648,2024-09-09,cancelled_recurring,38.17,False
CB_000104,TXN_003089146,CUST_031143,2025-04-01,fraudulent_transaction,61.2,False
CB_000105,TXN_002106802,CUST_021141,2025-01-29,product_not_received,3.94,False
CB_000106,TXN_001366687,CUST_013745,2025-03-25,product_not_received,18.38,False
CB_000107,TXN_001894365,CUST_019038,2025-03-04,authorization_error,100.91,False
CB_000108,TXN_004942489,CUST_049898,2025-05-27,authorization_error,30.45,False
CB_000109,TXN_002777999,CUST_027918,2025-05-05,authorization_error,76.04,False
CB_000110,TXN_001572794,CUST_015883,2025-01-20,product_not_received,32.53,False
CB_000111,TXN_004511436,CUST_045568,2025-02-04,product_not_as_described,18.56,False
CB_000112,TXN_000587798,CUST_005913,2025-02-19,cancelled_recurring,92.85,False
CB_000113,TXN_000229899,CUST_002286,2025-01-30,cancelled_recurring,44.88,False
CB_000114,TXN_000268524,CUST_002666,2024-11-02,duplicate_charge,57.64,False
CB_000115,TXN_003013939,CUST_030337,2025-04-04,cancelled_recurring,66.67,False
CB_000116,TXN_003706910,CUST_037414,2025-05-26,product_not_received,34.47,False
CB_000117,TXN_001024090,CUST_010269,2025-02-28,product_not_as_described,90.99,False
CB_000118,TXN_000987137,CUST_009908,2025-05-21,duplicate_charge,41.72,False
CB_000119,TXN_002172341,CUST_021765,2024-12-22,product_not_received,347.39,False
CB_000120,TXN_001498872,CUST_015144,2025-06-07,product_not_as_described,36.8,False
CB_000121,TXN_001003981,CUST_010061,2024-10-13,product_not_received,15.24,False
CB_000122,TXN_004926609,CUST_049750,2025-04-28,fraudulent_transaction,321.24,False
CB_000123,TXN_004405610,CUST_044475,2025-04-19,product_not_received,6.73,False
CB_000124,TXN_001600096,CUST_016150,2024-10-16,credit_not_processed,19.36,False
CB_000125,TXN_002123263,CUST_021287,2025-01-11,fraudulent_transaction,53.09,False
CB_000126,TXN_004368482,CUST_044111,2025-06-13,credit_not_processed,30.97,False
CB_000127,TXN_001097878,CUST_011051,2024-07-10,duplicate_charge,16.28,False
CB_000128,TXN_003525005,CUST_035586,2024-11-15,product_not_as_described,79.39,False
CB_000129,TXN_002996257,CUST_030177,2024-12-10,product_not_as_described,9.91,False
CB_000130,TXN_001749154,CUST_017639,2025-02-21,credit_not_processed,336.96,False
CB_000131,TXN_001369660,CUST_013774,2025-05-11,authorization_error,86.54,False
CB_000132,TXN_004929048,CUST_049770,2025-04-16,duplicate_charge,58.6,False
CB_000133,TXN_003567410,CUST_036012,2024-12-31,product_not_as_described,26.75,False
CB_000134,TXN_002323291,CUST_023289,2025-05-18,fraudulent_transaction,25.66,False
CB_000135,TXN_000516062,CUST_005194,2024-10-02,credit_not_processed,50.1,False
CB_000136,TXN_000044007,CUST_000441,2025-04-10,duplicate_charge,33.91,False
CB_000137,TXN_000326123,CUST_003296,2025-06-17,product_not_as_described,225.57,False
CB_000138,TXN_001724104,CUST_017405,2025-03-18,authorization_error,17.32,False
CB_000139,TXN_004864065,CUST_049117,2024-11-23,cancelled_recurring,4.8,False
CB_000140,TXN_003927281,CUST_039659,2025-06-25,credit_not_processed,14.75,False
CB_000141,TXN_003900559,CUST_039373,2024-08-16,credit_not_processed,20.78,False
CB_000142,TXN_002541510,CUST_025557,2025-01-22,authorization_error,10.19,False
CB_000143,TXN_002028826,CUST_020347,2025-02-27,product_not_received,14.02,False
CB_000144,TXN_004381147,CUST_044237,2025-04-23,authorization_error,59.44,False
CB_000145,TXN_004017160,CUST_040564,2024-11-23,product_not_as_described,183.55,False
CB_000146,TXN_000070673,CUST_000720,2025-03-25,authorization_error,24.52,False
CB_000147,TXN_000037931,CUST_000377,2024-09-28,product_not_received,21.34,False
CB_000148,TXN_002412020,CUST_024245,2024-12-14,product_not_as_described,20.13,False
CB_000149,TXN_001967598,CUST_019734,2024-07-17,fraudulent_transaction,1.36,False
CB_000150,TXN_001228465,CUST_012367,2024-12-04,cancelled_recurring,79.94,False
CB_000151,TXN_003420857,CUST_034549,2025-02-27,credit_not_processed,65.84,False
CB_000152,TXN_002175052,CUST_021787,2024-09-01,credit_not_processed,278.22,False
CB_000153,TXN_004315270,CUST_043578,2025-04-08,credit_not_processed,1.72,False
CB_000154,TXN_001619614,CUST_016345,2025-02-23,authorization_error,168.09,False
CB_000155,TXN_000020852,CUST_000203,2025-02-04,credit_not_processed,56.68,False
CB_000156,TXN_001886928,CUST_018943,2025-01-11,product_not_received,9.02,False
CB_000157,TXN_001603856,CUST_016183,2025-01-06,product_not_received,30.08,False
CB_000158,TXN_002332902,CUST_023390,2024-08-13,authorization_error,50.82,False
CB_000159,TXN_003755681,CUST_037891,2025-01-05,cancelled_recurring,25.31,False
CB_000160,TXN_001840083,CUST_018477,2025-05-10,product_not_as_described,3.87,False
CB_000161,TXN_001401698,CUST_014116,2025-06-24,product_not_received,203.99,False
CB_000162,TXN_004359855,CUST_044022,2025-02-19,fraudulent_transaction,32.15,False
CB_000163,TXN_004028018,CUST_040659,2025-03-07,fraudulent_transaction,72.74,False
CB_000164,TXN_002576963,CUST_025923,2024-11-23,duplicate_charge,24.34,False
CB_000165,TXN_003633783,CUST_036684,2024-08-09,product_not_received,55.06,False
CB_000166,TXN_001706095,CUST_017239,2025-04-05,fraudulent_transaction,56.3,False
CB_000167,TXN_000481680,CUST_004814,2025-03-18,authorization_error,284.27,False
CB_000168,TXN_000903215,CUST_009033,2025-03-01,authorization_error,61.82,False
CB_000169,TXN_002718845,CUST_027347,2025-05-17,duplicate_charge,9.13,False
CB_000170,TXN_001754343,CUST_017682,2024-10-02,duplicate_charge,4.04,False
CB_000171,TXN_003003025,CUST_030244,2025-01-14,product_not_received,138.57,False
CB_000172,TXN_000899557,CUST_008987,2025-04-19,cancelled_recurring,224.0,False
CB_000173,TXN_001104374,CUST_011110,2025-04-20,product_not_as_described,10.49,False
CB_000174,TXN_003437071,CUST_034699,2024-10-14,fraudulent_transaction,26.05,False
CB_000175,TXN_002753338,CUST_027690,2025-05-19,credit_not_processed,8.09,False
CB_000176,TXN_000911804,CUST_009127,2025-04-21,product_not_as_described,23.64,False
CB_000177,TXN_000112163,CUST_001121,2025-01-30,credit_not_processed,49.72,False
CB_000178,TXN_004736960,CUST_047832,2024-11-02,product_not_received,15.5,False
CB_000179,TXN_000320661,CUST_003226,2024-11-28,credit_not_processed,79.9,False
CB_000180,TXN_003923652,CUST_039627,2025-05-28,product_not_as_described,39.72,False
CB_000181,TXN_003357516,CUST_033905,2024-12-17,product_not_as_described,10.18,False
CB_000182,TXN_004689948,CUST_047375,2024-11-17,product_not_received,401.29,False
CB_000183,TXN_002839306,CUST_028545,2025-05-03,authorization_error,27.37,False
CB_000184,TXN_000485080,CUST_004849,2025-05-01,fraudulent_transaction,25.62,False
CB_000185,TXN_002799285,CUST_028132,2025-03-12,credit_not_processed,25.37,False
CB_000186,TXN_003163956,CUST_031934,2024-11-19,fraudulent_transaction,58.5,False
CB_000187,TXN_004182268,CUST_042209,2025-02-19,authorization_error,13.61,False
CB_000188,TXN_003851325,CUST_038893,2024-10-21,cancelled_recurring,10.65,False
CB_000189,TXN_004288918,CUST_043297,2025-03-23,product_not_received,6.75,False
CB_000190,TXN_001682829,CUST_016987,2025-04-03,cancelled_recurring,85.75,False
CB_000191,TXN_003678457,CUST_037121,2024-11-26,duplicate_charge,139.5,False
CB_000192,TXN_000234157,CUST_002319,2024-12-15,authorization_error,2.52,False
CB_000193,TXN_004294903,CUST_043362,2024-12-19,cancelled_recurring,55.21,False
CB_000194,TXN_003502223,CUST_035371,2025-01-05,credit_not_processed,69.86,False
