alert_id,customer_id,related_transaction_id,alert_date,alert_type,severity,is_true_positive,analyst_disposition
ALERT_0000001,CUST_002081,TXN_000208825,2024-10-28,card_testing_pattern,critical,True,sar_filed
ALERT_0000002,CUST_048830,TXN_INJ_CUST_048830_017_CT,2025-05-09,card_testing_pattern,medium,True,escalated
ALERT_0000003,CUST_048830,TXN_004836648,2024-12-25,card_testing_pattern,high,True,escalated
ALERT_0000004,CUST_026151,TXN_002600254,2024-12-23,card_testing_pattern,high,True,escalated
ALERT_0000005,CUST_026151,TXN_002600166,2024-04-26,card_testing_pattern,high,True,confirmed_fraud
ALERT_0000006,CUST_021142,TXN_002106917,2025-05-06,mule_indicator,medium,True,confirmed_fraud
ALERT_0000007,CUST_021142,TXN_002106931,2025-04-14,mule_indicator,critical,True,sar_filed
ALERT_0000008,CUST_011835,TXN_001177569,2025-05-12,mule_indicator,high,True,escalated
ALERT_0000009,CUST_011835,TXN_001177570,2025-05-24,mule_indicator,critical,True,escalated
ALERT_0000010,CUST_003652,TXN_000362134,2024-12-31,sanctions_potential_match,critical,True,sar_filed
ALERT_0000011,CUST_011251,TXN_001118163,2025-06-17,card_testing_pattern,high,True,escalated
ALERT_0000012,CUST_011251,TXN_001118162,2025-03-26,card_testing_pattern,medium,True,sar_filed
ALERT_0000013,CUST_011251,TXN_INJ_CUST_011251_017_CT,2024-12-16,card_testing_pattern,medium,True,sar_filed
ALERT_0000014,CUST_024584,TXN_002445077,2025-01-26,mule_indicator,medium,True,sar_filed
ALERT_0000015,CUST_024584,TXN_002445053,2024-11-14,mule_indicator,medium,True,confirmed_fraud
ALERT_0000016,CUST_024584,TXN_002445080,2024-12-20,mule_indicator,critical,True,escalated
ALERT_0000017,CUST_024584,TXN_INJ_CUST_024584_OUT_01_MM,2025-06-22,mule_indicator,critical,True,escalated
ALERT_0000018,CUST_017004,TXN_INJ_CUST_017004_INFLOW_MM,2025-06-11,mule_indicator,high,True,escalated
ALERT_0000019,CUST_017004,TXN_001684448,2025-05-31,mule_indicator,high,True,confirmed_fraud
