customer_id,country,industry,signup_date,lifecycle_stage,initial_risk_score,initial_risk_class,is_bad_actor,daily_tx_rate
CUST_000001,IT,retail_online,2025-01-05,growing,25,low,False,2.55
CUST_000002,BE,construction_trades,2024-05-04,mature,21,low,False,6.35
CUST_000003,ES,retail_online,2024-11-12,established,20,low,False,1.08
CUST_000004,FR,wholesale_b2b,2025-01-30,growing,52,medium,False,2.07
CUST_000005,FR,restaurants_food,2024-07-15,established,25,low,False,3.46
CUST_000006,FR,travel_hospitality,2024-11-24,established,33,medium,False,1.09
CUST_000007,SE,health_wellness,2024-04-28,mature,19,low,False,10.07
CUST_000008,FR,professional_services,2024-12-24,established,35,medium,False,4.96
CUST_000009,NL,professional_services,2025-02-23,growing,12,low,False,2.75
CUST_000010,NL,travel_hospitality,2024-07-12,established,21,low,False,9.76
CUST_000011,IT,restaurants_food,2024-11-05,established,25,low,False,7.0
CUST_000012,PL,logistics,2024-11-11,established,13,low,False,0.53
CUST_000013,DE,retail_online,2025-01-28,growing,20,low,False,2.22
CUST_000014,ES,logistics,2024-08-25,established,16,low,False,2.63
CUST_000015,FR,wholesale_b2b,2024-06-07,mature,24,low,False,2.27
CUST_000016,FR,tech_software,2024-09-24,established,34,medium,False,12.15
CUST_000017,NL,retail_online,2025-02-21,growing,30,medium,False,2.48
CUST_000018,IT,health_wellness,2024-09-18,established,43,medium,False,4.43
CUST_000019,IE,retail_online,2024-12-16,established,48,medium,False,7.58
CUST_000020,PT,travel_hospitality,2024-05-21,mature,9,low,False,7.31
CUST_000021,AT,wholesale_b2b,2025-05-03,growing,26,low,False,0.81
CUST_000022,IT,beauty_personal_care,2024-10-28,established,29,low,False,6.57
CUST_000023,PL,construction_trades,2025-03-23,growing,10,low,False,1.33
CUST_000024,FR,wholesale_b2b,2024-07-25,established,26,low,False,7.41
CUST_000025,BE,retail_physical,2025-05-09,growing,17,low,False,1.89
CUST_000026,PL,restaurants_food,2024-08-05,established,35,medium,False,2.8
CUST_000027,ES,logistics,2024-12-19,established,21,low,False,2.29
CUST_000028,FR,construction_trades,2024-10-11,established,25,low,False,5.32
CUST_000029,ES,tech_software,2024-07-17,established,44,medium,False,5.87
CUST_000030,AT,travel_hospitality,2024-04-22,mature,26,low,False,10.45
CUST_000031,NL,tech_software,2024-11-17,established,25,low,False,7.04
CUST_000032,NL,beauty_personal_care,2024-10-04,established,10,low,False,5.67
CUST_000033,IT,beauty_personal_care,2024-05-12,mature,13,low,False,7.57
CUST_000034,DE,professional_services,2024-11-05,established,31,medium,False,5.6
CUST_000035,AT,retail_physical,2024-10-08,established,37,medium,False,2.32
CUST_000036,DK,retail_online,2025-04-30,growing,51,medium,False,1.13
CUST_000037,ES,professional_services,2025-02-22,growing,32,medium,True,1.65
CUST_000038,FR,creative_media,2024-08-13,established,17,low,False,1.06
CUST_000039,IT,creative_media,2024-06-15,mature,13,low,False,13.56
CUST_000040,ES,logistics,2024-08-24,established,41,medium,False,5.29
CUST_000041,ES,retail_online,2025-04-22,growing,33,medium,False,2.31
CUST_000042,IT,professional_services,2024-09-25,established,43,medium,False,3.45
CUST_000043,NL,retail_physical,2024-09-30,established,9,low,False,3.13
CUST_000044,DE,logistics,2024-08-25,established,24,low,False,5.69
CUST_000045,FR,retail_physical,2024-02-10,mature,11,low,False,3.34
CUST_000046,ES,construction_trades,2024-08-05,established,53,medium,False,2.61
CUST_000047,FR,restaurants_food,2024-10-06,established,12,low,False,3.99
CUST_000048,PT,construction_trades,2024-02-07,mature,30,medium,False,3.69
CUST_000049,PL,restaurants_food,2024-08-05,established,44,medium,False,2.13
CUST_000050,DE,professional_services,2024-12-28,established,31,medium,False,7.56
CUST_000051,ES,retail_online,2024-05-08,mature,14,low,True,7.12
CUST_000052,PT,beauty_personal_care,2025-05-11,growing,33,medium,False,2.92
CUST_000053,ES,retail_physical,2024-04-26,mature,49,medium,False,1.65
CUST_000054,IE,tech_software,2024-11-10,established,21,low,False,4.78
CUST_000055,PL,retail_online,2025-03-12,growing,27,low,False,2.73
CUST_000056,PT,health_wellness,2025-05-05,growing,24,low,False,0.1
CUST_000057,NL,restaurants_food,2025-03-03,growing,49,medium,False,2.25
CUST_000058,PL,beauty_personal_care,2025-02-22,growing,29,low,False,1.27
CUST_000059,NL,retail_online,2025-02-20,growing,29,low,False,3.81
CUST_000060,DE,professional_services,2024-07-18,established,16,low,False,2.58
CUST_000061,NL,wholesale_b2b,2024-09-07,established,2,low,False,4.3
CUST_000062,DE,retail_online,2024-05-23,mature,34,medium,False,5.65
CUST_000063,DE,retail_physical,2024-11-22,established,10,low,False,7.76
CUST_000064,DK,retail_physical,2024-09-19,established,14,low,False,3.7
CUST_000065,NL,construction_trades,2024-12-18,established,47,medium,False,3.15
CUST_000066,FR,beauty_personal_care,2025-03-24,growing,9,low,False,0.97
CUST_000067,AT,construction_trades,2024-08-23,established,12,low,False,5.74
CUST_000068,NL,health_wellness,2024-12-12,established,6,low,False,7.07
CUST_000069,ES,health_wellness,2024-11-09,established,37,medium,False,4.5
CUST_000070,ES,beauty_personal_care,2024-08-28,established,3,low,False,5.71
CUST_000071,PT,logistics,2024-06-23,mature,40,medium,False,7.83
CUST_000072,DE,professional_services,2024-12-14,established,26,low,False,5.98
CUST_000073,DE,creative_media,2024-11-26,established,26,low,False,2.04
CUST_000074,ES,logistics,2024-12-21,established,13,low,False,4.56
CUST_000075,NL,retail_physical,2025-01-18,growing,30,medium,False,3.77
CUST_000076,FR,construction_trades,2024-07-30,established,34,medium,False,2.47
CUST_000077,IT,construction_trades,2024-11-22,established,55,medium,False,3.04
CUST_000078,BE,construction_trades,2024-10-03,established,38,medium,False,3.15
CUST_000079,IE,creative_media,2024-08-03,established,25,low,False,7.71
CUST_000080,ES,beauty_personal_care,2024-07-25,established,2,low,False,5.81
CUST_000081,DE,construction_trades,2024-04-30,mature,33,medium,False,8.39
CUST_000082,DE,health_wellness,2024-09-27,established,10,low,False,3.88
CUST_000083,FR,tech_software,2025-04-10,growing,55,medium,False,2.25
CUST_000084,FR,travel_hospitality,2024-08-19,established,0,low,False,7.52
CUST_000085,ES,logistics,2024-11-08,established,16,low,False,3.54
CUST_000086,FR,retail_online,2024-09-20,established,11,low,False,0.99
CUST_000087,IE,restaurants_food,2025-05-13,growing,0,low,False,1.54
CUST_000088,IT,retail_physical,2024-12-05,established,35,medium,False,6.39
CUST_000089,FR,professional_services,2024-10-12,established,8,low,False,8.45
CUST_000090,PL,health_wellness,2024-07-31,established,27,low,False,4.72
CUST_000091,DK,travel_hospitality,2024-07-19,established,59,medium,False,6.86
CUST_000092,NL,professional_services,2024-07-07,established,33,medium,False,4.67
CUST_000093,IT,tech_software,2025-04-12,growing,13,low,False,2.17
CUST_000094,IT,logistics,2024-12-28,established,26,low,False,3.17
CUST_000095,ES,wholesale_b2b,2024-11-16,established,37,medium,False,3.31
CUST_000096,DE,tech_software,2024-12-19,established,20,low,False,3.75
CUST_000097,IE,tech_software,2025-01-28,growing,30,medium,False,0.76
CUST_000098,ES,beauty_personal_care,2024-09-14,established,11,low,False,4.42
CUST_000099,IE,retail_physical,2024-10-05,established,4,low,False,8.11
CUST_000100,NL,restaurants_food,2025-01-02,growing,36,medium,False,1.83
CUST_000101,ES,creative_media,2024-10-15,established,34,medium,False,1.82
CUST_000102,DE,retail_physical,2024-08-11,established,1,low,False,5.64
CUST_000103,IT,travel_hospitality,2024-03-12,mature,30,medium,False,4.47
CUST_000104,PT,travel_hospitality,2024-08-11,established,0,low,False,1.87
CUST_000105,ES,professional_services,2024-05-03,mature,21,low,False,2.59
CUST_000106,BE,beauty_personal_care,2024-12-26,established,22,low,False,4.63
CUST_000107,FR,professional_services,2024-08-22,established,10,low,False,3.25
CUST_000108,FR,logistics,2024-11-09,established,15,low,False,6.49
CUST_000109,DE,logistics,2024-07-04,established,38,medium,False,6.4
CUST_000110,DE,professional_services,2025-01-04,growing,21,low,False,3.32
CUST_000111,IT,retail_physical,2025-02-08,growing,20,low,False,2.91
CUST_000112,BE,restaurants_food,2024-08-09,established,43,medium,False,4.04
CUST_000113,NL,creative_media,2024-05-15,mature,37,medium,False,6.19
CUST_000114,FR,retail_online,2024-07-31,established,29,low,False,3.65
CUST_000115,ES,tech_software,2024-12-01,established,33,medium,False,4.92
CUST_000116,DE,professional_services,2024-05-25,mature,26,low,False,1.92
CUST_000117,DE,construction_trades,2024-09-17,established,35,medium,False,3.47
CUST_000118,FR,tech_software,2024-11-29,established,5,low,False,2.15
CUST_000119,DE,professional_services,2024-08-05,established,34,medium,False,5.31
CUST_000120,NL,health_wellness,2024-10-10,established,14,low,False,3.46
CUST_000121,BE,logistics,2025-02-20,growing,34,medium,False,2.32
CUST_000122,PT,tech_software,2024-12-10,established,39,medium,False,3.54
CUST_000123,IT,wholesale_b2b,2025-02-06,growing,33,medium,False,2.26
CUST_000124,BE,tech_software,2025-03-25,growing,9,low,False,2.42
CUST_000125,FR,wholesale_b2b,2024-10-26,established,18,low,False,4.54
CUST_000126,FR,travel_hospitality,2024-11-24,established,35,medium,False,4.76
CUST_000127,IE,tech_software,2025-04-14,growing,47,medium,False,2.0
CUST_000128,NL,restaurants_food,2024-10-17,established,5,low,False,0.42
CUST_000129,ES,beauty_personal_care,2025-02-01,growing,41,medium,False,1.78
CUST_000130,DE,retail_physical,2025-02-19,growing,13,low,False,3.35
CUST_000131,PL,construction_trades,2024-03-22,mature,34,medium,False,7.2
CUST_000132,PT,construction_trades,2025-02-05,growing,55,medium,False,2.01
CUST_000133,NL,construction_trades,2024-09-11,established,25,low,False,1.35
CUST_000134,DE,construction_trades,2024-06-02,mature,17,low,False,12.01
CUST_000135,NL,beauty_personal_care,2024-11-26,established,25,low,False,5.82
CUST_000136,ES,retail_physical,2024-07-19,established,28,low,False,3.57
CUST_000137,IT,restaurants_food,2024-10-25,established,21,low,False,1.88
CUST_000138,IE,creative_media,2024-07-27,established,11,low,False,3.8
CUST_000139,ES,restaurants_food,2025-02-22,growing,20,low,False,3.74
CUST_000140,PL,construction_trades,2024-08-06,established,49,medium,False,4.56
CUST_000141,ES,beauty_personal_care,2024-10-22,established,36,medium,False,6.75
CUST_000142,ES,construction_trades,2024-09-16,established,52,medium,False,2.64
CUST_000143,DE,health_wellness,2024-07-23,established,25,low,False,3.84
